consumption,savings,income
42502.52,1180.32,43682.84
16346.91,0.0,16346.91
34238.46,0.0,34238.46
15806.76,0.0,15806.76
52093.36,31624.3,83717.66
19515.19,5743.09,25258.28
9078.66,147.54,9226.2
50076.45,5135.86,55212.31
33469.03,29347.82,62816.85
14793.15,0.0,14793.15
48935.48,3815.21,52750.69
14400.61,0.0,14400.61
32336.81,0.0,32336.81
50100.16,0.0,50100.16
10700.51,0.0,10700.51
54896.51,4721.31,59617.82
1818.31,0.0,1818.31
11838.2,0.0,11838.2
73156.52,0.0,73156.52
26264.69,0.0,26264.69
60802.05,0.0,60802.05
44711.93,733.69,45445.62
17183.88,0.0,17183.88
10096.48,0.0,10096.48
59929.66,24456.52,84386.18000000001
19218.96,0.0,19218.96
25238.51,1491.71,26730.219999999998
32698.7,0.0,32698.7
25529.77,0.0,25529.77
40010.58,0.0,40010.58
18310.72,0.0,18310.72
37539.63,3196.72,40736.35
15878.05,1711.95,17590.0
19680.17,14673.91,34354.08
16504.03,13206.52,29710.55
32970.42,248.61,33219.03
20363.76,0.0,20363.76
13882.41,0.0,13882.41
8274.82,586.95,8861.77
28754.52,0.0,28754.52
25773.1,0.0,25773.1
19553.79,4646.73,24200.52
31837.2,0.0,31837.2
18540.3,3442.62,21982.92
12454.9,7377.04,19831.94
27438.36,0.0,27438.36
32904.89,0.0,32904.89
16344.84,0.0,16344.84
11026.15,0.0,11026.15
15313.68,0.0,15313.68
56060.23,0.0,56060.23
2675.36,2824.72,5500.08
37814.55,0.0,37814.55
20924.15,0.0,20924.15
19078.39,0.0,19078.39
42171.46,0.0,42171.46
36481.57,0.0,36481.57
33673.93,0.0,33673.93
35884.55,0.0,35884.55
11604.5,0.0,11604.5
35143.33,4891.3,40034.630000000005
47818.98,0.0,47818.98
38308.42,0.0,38308.42
24452.47,17608.69,42061.16
53464.29,3913.04,57377.33
22748.75,0.0,22748.75
32707.63,5901.63,38609.26
42595.05,7336.95,49932.0
21281.77,0.0,21281.77
8988.2,0.0,8988.2
54262.07,0.0,54262.07
12387.96,0.0,12387.96
31723.93,0.0,31723.93
37480.23,0.0,37480.23
41185.78,983.6,42169.38
96682.07,0.0,96682.07
7187.11,0.0,7187.11
29866.99,0.0,29866.99
68718.08,5966.85,74684.93000000001
25548.44,0.0,25548.44
48030.08,0.0,48030.08
30911.77,0.0,30911.77
9082.25,0.0,9082.25
26845.77,0.0,26845.77
26026.49,0.0,26026.49
46299.79,43288.04,89587.83
38755.58,1475.4,40230.98
23579.89,0.0,23579.89
32084.42,14673.91,46758.33
15095.36,0.0,15095.36
33702.16,4010.86,37713.020000000004
5897.17,0.0,5897.17
85124.41,0.0,85124.41
54672.23,2054.34,56726.57000000001
27435.56,968.47,28404.030000000002
21429.4,0.0,21429.4
29348.78,0.0,29348.78
20775.73,26413.04,47188.770000000004
11310.57,5901.63,17212.2
45171.47,11803.27,56974.740000000005
29978.25,2616.84,32595.09
20527.83,2032.2,22560.030000000002
75411.63,0.0,75411.63
30816.52,0.0,30816.52
30065.49,0.0,30065.49
17205.55,0.0,17205.55
24771.06,0.0,24771.06
7148.78,0.0,7148.78
15004.66,0.0,15004.66
2184.18,0.0,2184.18
55919.08,293.47,56212.55
71636.85,0.0,71636.85
35844.71,0.0,35844.71
88367.94,0.0,88367.94
16750.26,0.0,16750.26
11123.39,2595.58,13718.97
54564.04,1327.86,55891.9
70939.25,0.0,70939.25
24353.21,0.0,24353.21
20664.41,0.0,20664.41
16434.74,0.0,16434.74
22117.49,0.0,22117.49
22790.21,0.0,22790.21
24351.16,19081.96,43433.119999999995
56678.46,2950.81,59629.27
24294.24,0.0,24294.24
39526.15,733.69,40259.840000000004
15474.9,0.0,15474.9
27114.9,0.0,27114.9
14362.04,0.0,14362.04
20897.69,3580.11,24477.8
17234.01,9836.06,27070.07
52582.34,0.0,52582.34
15240.09,0.0,15240.09
43391.41,4918.03,48309.44
43728.26,0.0,43728.26
65714.08,0.0,65714.08
39843.97,0.0,39843.97
12229.58,0.0,12229.58
34035.83,0.0,34035.83
11301.87,0.0,11301.87
37443.22,36885.24,74328.45999999999
17305.94,35706.52,53012.45999999999
42001.45,0.0,42001.45
3250.3,0.0,3250.3
39359.56,0.0,39359.56
17844.4,0.0,17844.4
54018.85,0.0,54018.85
21684.7,0.0,21684.7
28990.92,0.0,28990.92
68852.25,3326.08,72178.33
10111.64,0.0,10111.64
18244.46,0.0,18244.46
91210.0,786.88,91996.88
15221.44,0.0,15221.44
51994.18,0.0,51994.18
35392.82,0.0,35392.82
21718.14,0.0,21718.14
10516.75,0.0,10516.75
31851.0,0.0,31851.0
15770.83,0.0,15770.83
20459.98,0.0,20459.98
27398.2,0.0,27398.2
17395.25,0.0,17395.25
21776.61,0.0,21776.61
60255.41,0.0,60255.41
13226.01,4402.17,17628.18
31571.59,0.0,31571.59
2650.79,978.26,3629.05
21905.77,0.0,21905.77
35248.64,0.0,35248.64
56514.79,0.0,56514.79
52002.17,9978.26,61980.43
9377.02,0.0,9377.02
16688.93,0.0,16688.93
35207.48,0.0,35207.48
4520.54,0.0,4520.54
25290.95,0.0,25290.95
6517.22,7868.85,14386.07
15312.24,0.0,15312.24
40982.2,0.0,40982.2
28161.68,2641.3,30802.98
82300.88,0.0,82300.88
45365.01,0.0,45365.01
44282.77,0.0,44282.77
34730.43,0.0,34730.43
59242.02,0.0,59242.02
52188.58,0.0,52188.58
37032.64,0.0,37032.64
28979.8,0.0,28979.8
11855.48,0.0,11855.48
25543.6,0.0,25543.6
19819.76,0.0,19819.76
23879.28,0.0,23879.28
23375.95,0.0,23375.95
14666.43,0.0,14666.43
17923.55,0.0,17923.55
38462.22,2103.26,40565.48
40596.82,0.0,40596.82
48893.88,20655.73,69549.61
28177.58,2934.78,31112.36
8637.48,0.0,8637.48
60164.09,1467.39,61631.479999999996
5736.18,0.0,5736.18
29234.37,0.0,29234.37
4401.7,0.0,4401.7
12554.75,9836.06,22390.809999999998
32678.71,0.0,32678.71
68973.37,0.0,68973.37
42388.48,9782.6,52171.08
4800.69,7377.04,12177.73
5150.49,0.0,5150.49
17754.49,0.0,17754.49
44939.28,0.0,44939.28
51293.14,0.0,51293.14
11668.32,0.0,11668.32
26968.13,0.0,26968.13
42952.79,0.0,42952.79
18799.04,0.0,18799.04
26767.72,1467.39,28235.11
21793.5,1320.65,23114.15
18752.3,0.0,18752.3
77185.03,11933.7,89118.73
17830.18,0.0,17830.18
35562.01,2784.53,38346.54
29639.68,1180.32,30820.0
28231.82,8804.34,37036.16
9473.48,0.0,9473.48
43876.15,0.0,43876.15
30005.37,6712.7,36718.07
24732.69,0.0,24732.69
51149.5,0.0,51149.5
28686.66,1988.95,30675.61
21349.97,0.0,21349.97
16281.21,0.0,16281.21
11003.24,0.0,11003.24
34043.18,0.0,34043.18
65431.72,786.88,66218.6
21910.91,8852.45,30763.36
16459.9,0.0,16459.9
40116.88,2459.01,42575.89
28051.88,0.0,28051.88
61914.07,0.0,61914.07
24757.85,9836.06,34593.909999999996
37211.06,5680.32,42891.38
67513.38,0.0,67513.38
50191.97,0.0,50191.97
56057.67,3442.62,59500.29
35854.18,1711.95,37566.13
25107.08,0.0,25107.08
37800.44,8852.45,46652.89
47963.22,7336.95,55300.17
14695.74,0.0,14695.74
60809.62,1524.59,62334.21
16549.83,5071.82,21621.65
30643.32,1711.95,32355.27
24118.85,0.0,24118.85
21039.27,0.0,21039.27
19404.74,0.0,19404.74
41775.1,0.0,41775.1
29395.82,0.0,29395.82
11881.24,1032.78,12914.02
6114.44,3766.3,9880.74
17320.59,0.0,17320.59
9520.69,0.0,9520.69
44667.21,2459.01,47126.22
65448.17,0.0,65448.17
14549.98,0.0,14549.98
19080.69,0.0,19080.69
26326.36,2950.81,29277.170000000002
19594.55,0.0,19594.55
12048.17,0.0,12048.17
51041.42,4646.73,55688.149999999994
44260.17,14754.09,59014.259999999995
16496.62,0.0,16496.62
11114.12,0.0,11114.12
50112.28,0.0,50112.28
24957.48,0.0,24957.48
35625.98,0.0,35625.98
38797.44,11494.56,50292.0
33616.16,23967.39,57583.55
14248.66,0.0,14248.66
47387.39,1506.52,48893.909999999996
20295.48,0.0,20295.48
31164.37,0.0,31164.37
54330.96,0.0,54330.96
61870.32,17608.69,79479.01
37289.37,2950.81,40240.18
6825.55,0.0,6825.55
12303.83,0.0,12303.83
70703.43,0.0,70703.43
14628.67,0.0,14628.67
21229.9,0.0,21229.9
22630.42,2201.08,24831.5
6873.54,0.0,6873.54
28425.01,0.0,28425.01
35727.24,0.0,35727.24
40088.92,0.0,40088.92
30259.22,0.0,30259.22
12880.06,4891.3,17771.36
38131.07,4402.17,42533.24
16145.09,0.0,16145.09
47590.23,0.0,47590.23
22870.45,0.0,22870.45
30795.32,6147.54,36942.86
