log_dowry,elementary_plus,junior_plus,college,ethnicity,year,mar_year,mar_age,husband_elementary,husband_junior,husband_college,husband_mar_age,pre_marriage_asset,muslim,multiple_wives
12.765689,0.0,0.0,0.0,Batak,2007.0,1998.0,19.0,0.0,0.0,0.0,24.0,,0.0,0.0
9.903487,1.0,0.0,0.0,Batak,2007.0,1998.0,31.0,1.0,1.0,0.0,24.0,0.0,1.0,0.0
,1.0,0.0,0.0,Jawa,2007.0,2000.0,20.0,0.0,0.0,0.0,23.0,0.0,1.0,0.0
,1.0,0.0,0.0,Batak,2007.0,2006.0,19.0,1.0,1.0,0.0,27.0,0.0,0.0,0.0
,1.0,0.0,0.0,Jawa,2007.0,2007.0,25.0,,,,28.0,1000000.0,1.0,0.0
14.508657,,,,Jawa,2007.0,2000.0,24.0,1.0,0.0,0.0,25.0,2000000.0,1.0,0.0
10.126631,1.0,1.0,0.0,Jawa,2000.0,1999.0,25.0,1.0,1.0,0.0,25.0,,1.0,0.0
11.512925,1.0,1.0,0.0,Batak,2007.0,2000.0,,1.0,1.0,0.0,28.0,,1.0,0.0
9.2103405,0.0,0.0,0.0,Jawa,2000.0,1995.0,21.0,1.0,0.0,0.0,19.0,,1.0,0.0
,1.0,0.0,0.0,Batak,2007.0,2008.0,33.0,1.0,0.0,0.0,31.0,1000000.0,0.0,0.0
14.508657,1.0,1.0,0.0,Batak,2007.0,2005.0,22.0,1.0,0.0,0.0,21.0,2000000.0,0.0,0.0
,0.0,0.0,0.0,Batak,2007.0,2000.0,22.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0
10.275051,1.0,1.0,0.0,Batak,2000.0,1971.0,17.0,1.0,1.0,0.0,26.0,,1.0,0.0
13.815511,,,,Jawa,2007.0,,24.0,0.0,0.0,0.0,,0.0,1.0,
11.512925,0.0,0.0,0.0,Batak,2007.0,1979.0,22.0,0.0,0.0,0.0,18.0,,1.0,0.0
14.508657,1.0,1.0,1.0,Jawa,2007.0,,24.0,1.0,1.0,0.0,,2000000.0,1.0,
12.429216,1.0,1.0,0.0,Melayu,2000.0,1994.0,19.0,0.0,0.0,0.0,24.0,,1.0,0.0
,0.0,0.0,0.0,Batak,2007.0,1979.0,19.0,0.0,0.0,0.0,19.0,,0.0,0.0
,1.0,1.0,0.0,Jawa,2007.0,2003.0,21.0,0.0,0.0,0.0,21.0,600000.0,1.0,0.0
,1.0,1.0,0.0,Batak,2007.0,2002.0,34.0,1.0,1.0,0.0,28.0,1000000.0,0.0,1.0
,1.0,0.0,0.0,Batak,2007.0,2007.0,27.0,,,,39.0,0.0,0.0,0.0
,0.0,0.0,0.0,Batak,2007.0,2002.0,28.0,0.0,0.0,0.0,32.0,1000000.0,0.0,0.0
,0.0,0.0,0.0,Batak,2000.0,1996.0,22.0,1.0,1.0,0.0,25.0,,0.0,0.0
,1.0,1.0,0.0,Jawa,2007.0,2005.0,36.0,1.0,1.0,0.0,36.0,,0.0,0.0
12.206073,1.0,0.0,0.0,Batak,2007.0,,25.0,1.0,1.0,0.0,,5000000.0,0.0,
15.384127,1.0,1.0,1.0,Batak,2000.0,1998.0,25.0,1.0,1.0,0.0,32.0,,0.0,0.0
15.520259,1.0,1.0,0.0,Batak,2007.0,2002.0,28.0,1.0,1.0,0.0,29.0,,0.0,0.0
,0.0,0.0,0.0,Jawa,2007.0,2005.0,19.0,,,,17.0,0.0,1.0,0.0
16.118095,1.0,1.0,1.0,Batak,2007.0,2003.0,34.0,1.0,1.0,1.0,24.0,10000000.0,0.0,0.0
11.982929,0.0,0.0,0.0,Jawa,2000.0,2000.0,26.0,1.0,0.0,0.0,25.0,,1.0,0.0
,0.0,0.0,0.0,Jawa,2007.0,2005.0,20.0,0.0,0.0,0.0,22.0,0.0,1.0,0.0
13.122363,1.0,1.0,0.0,Jawa,2007.0,2006.0,,,,,27.0,,1.0,0.0
,0.0,0.0,0.0,Jawa,2007.0,2002.0,21.0,1.0,0.0,0.0,27.0,400000.0,1.0,0.0
10.819778,1.0,0.0,0.0,Jawa,2007.0,,21.0,1.0,1.0,0.0,,0.0,1.0,
,1.0,1.0,0.0,Batak,2000.0,1994.0,28.0,1.0,1.0,0.0,36.0,,0.0,0.0
13.815511,0.0,0.0,0.0,Batak,2000.0,1992.0,22.0,1.0,0.0,0.0,24.0,,0.0,0.0
,1.0,1.0,0.0,Batak,2007.0,2003.0,24.0,1.0,0.0,0.0,28.0,500000.0,0.0,0.0
,,,,Melayu,2000.0,1952.0,22.0,0.0,0.0,0.0,26.0,250.0,1.0,
9.2103405,0.0,0.0,0.0,Jawa,2007.0,2003.0,24.0,,,,32.0,1000000.0,1.0,0.0
,0.0,0.0,0.0,Jawa,2000.0,1998.0,17.0,0.0,0.0,0.0,17.0,,1.0,0.0
9.903487,1.0,1.0,0.0,Jawa,2007.0,1998.0,22.0,0.0,0.0,0.0,24.0,600000.0,1.0,0.0
12.429216,1.0,1.0,0.0,Batak,2000.0,1996.0,23.0,1.0,1.0,0.0,27.0,,0.0,0.0
11.95118,0.0,0.0,0.0,Jawa,2000.0,1998.0,22.0,1.0,0.0,0.0,25.0,,1.0,0.0
15.424949,1.0,1.0,0.0,Batak,2007.0,2004.0,25.0,1.0,1.0,1.0,25.0,5000000.0,0.0,0.0
,1.0,1.0,0.0,Batak,2007.0,2003.0,28.0,1.0,1.0,0.0,28.0,0.0,0.0,0.0
8.517193,0.0,0.0,0.0,Jawa,2000.0,1987.0,26.0,0.0,0.0,0.0,29.0,,1.0,0.0
,1.0,1.0,0.0,Jawa,2007.0,2007.0,23.0,1.0,1.0,0.0,27.0,1000000.0,1.0,0.0
9.615806,1.0,1.0,0.0,Jawa,2007.0,,20.0,0.0,0.0,0.0,,300000.0,1.0,
,1.0,1.0,0.0,Batak,2000.0,1998.0,23.0,1.0,1.0,0.0,26.0,,0.0,0.0
